id,year,week,startdate,enddate,positive_rate,maskindex
201641,2016,41,2016/10/9,2016/10/15,0.0135914,0
201642,2016,42,2016/10/16,2016/10/22,0.0140304,0
201643,2016,43,2016/10/23,2016/10/29,0.0150862,0
201644,2016,44,2016/10/30,2016/11/5,0.0191569,0
201645,2016,45,2016/11/6,2016/11/12,0.0220089,0
201646,2016,46,2016/11/13,2016/11/19,0.0257608,0
201647,2016,47,2016/11/20,2016/11/26,0.0334773,0
201648,2016,48,2016/11/27,2016/12/3,0.033191,0
201649,2016,49,2016/12/4,2016/12/10,0.0425987,0
201650,2016,50,2016/12/11,2016/12/17,0.0668342,0
201651,2016,51,2016/12/18,2016/12/24,0.107819,0
201652,2016,52,2016/12/25,2016/12/31,0.139993,0
201701,2017,1,2017/1/1,2017/1/7,0.133436,0
201702,2017,2,2017/1/8,2017/1/14,0.15373,0
201703,2017,3,2017/1/15,2017/1/21,0.182865,0
201704,2017,4,2017/1/22,2017/1/28,0.185299,0
201705,2017,5,2017/1/29,2017/2/4,0.214215,0
201706,2017,6,2017/2/5,2017/2/11,0.241525,0
201707,2017,7,2017/2/12,2017/2/18,0.245117,0
201708,2017,8,2017/2/19,2017/2/25,0.247251,0
201709,2017,9,2017/2/26,2017/3/4,0.19772,0
201710,2017,10,2017/3/5,2017/3/11,0.192714,0
201711,2017,11,2017/3/12,2017/3/18,0.190338,0
201712,2017,12,2017/3/19,2017/3/25,0.197113,0
201713,2017,13,2017/3/26,2017/4/1,0.184816,0
201714,2017,14,2017/4/2,2017/4/8,0.154251,0
201715,2017,15,2017/4/9,2017/4/15,0.127395,0
201716,2017,16,2017/4/16,2017/4/22,0.0969626,0
201717,2017,17,2017/4/23,2017/4/29,0.0676776,0
201718,2017,18,2017/4/30,2017/5/6,0.0591752,0
201719,2017,19,2017/5/7,2017/5/13,0.0533264,0
201720,2017,20,2017/5/14,2017/5/20,0.0486286,0
201721,2017,21,2017/5/21,2017/5/27,0.0435223,0
201722,2017,22,2017/5/28,2017/6/3,0.0416524,0
201723,2017,23,2017/6/4,2017/6/10,0.0338586,0
201724,2017,24,2017/6/11,2017/6/17,0.0306229,0
201725,2017,25,2017/6/18,2017/6/24,0.0264932,0
201726,2017,26,2017/6/25,2017/7/1,0.0253401,0
201727,2017,27,2017/7/2,2017/7/8,0.0217791,0
201728,2017,28,2017/7/9,2017/7/15,0.0216392,0
201729,2017,29,2017/7/16,2017/7/22,0.0183895,0
201730,2017,30,2017/7/23,2017/7/29,0.0180607,0
201731,2017,31,2017/7/30,2017/8/5,0.0194796,0
201732,2017,32,2017/8/6,2017/8/12,0.0190048,0
201733,2017,33,2017/8/13,2017/8/19,0.0134281,0
201734,2017,34,2017/8/20,2017/8/26,0.0143382,0
201735,2017,35,2017/8/27,2017/9/2,0.0193535,0
201736,2017,36,2017/9/3,2017/9/9,0.0188806,0
201737,2017,37,2017/9/10,2017/9/16,0.0189622,0
201738,2017,38,2017/9/17,2017/9/23,0.0166942,0
201739,2017,39,2017/9/24,2017/9/30,0.0170313,0
201740,2017,40,2017/10/1,2017/10/7,0.0220191,0
201741,2017,41,2017/10/8,2017/10/14,0.0208975,0
201742,2017,42,2017/10/15,2017/10/21,0.0217647,0
201743,2017,43,2017/10/22,2017/10/28,0.0258279,0
201744,2017,44,2017/10/29,2017/11/4,0.0360729,0
201745,2017,45,2017/11/5,2017/11/11,0.0424472,0
201746,2017,46,2017/11/12,2017/11/18,0.0529966,0
201747,2017,47,2017/11/19,2017/11/25,0.070877,0
201748,2017,48,2017/11/26,2017/12/2,0.0730533,0
201749,2017,49,2017/12/3,2017/12/9,0.107453,0
201750,2017,50,2017/12/10,2017/12/16,0.153549,0
201751,2017,51,2017/12/17,2017/12/23,0.22777,0
201752,2017,52,2017/12/24,2017/12/30,0.253864,0
201801,2018,1,2017/12/31,2018/1/6,0.253653,0
201802,2018,2,2018/1/7,2018/1/13,0.269421,0
201803,2018,3,2018/1/14,2018/1/20,0.27034,0
201804,2018,4,2018/1/21,2018/1/27,0.273698,0
201805,2018,5,2018/1/28,2018/2/3,0.270643,0
201806,2018,6,2018/2/4,2018/2/10,0.269981,0
201807,2018,7,2018/2/11,2018/2/17,0.261174,0
201808,2018,8,2018/2/18,2018/2/24,0.226155,0
201809,2018,9,2018/2/25,2018/3/3,0.184867,0
201810,2018,10,2018/3/4,2018/3/10,0.156938,0
201811,2018,11,2018/3/11,2018/3/17,0.155813,0
201812,2018,12,2018/3/18,2018/3/24,0.15328,0
201813,2018,13,2018/3/25,2018/3/31,0.151135,0
201814,2018,14,2018/4/1,2018/4/7,0.126888,0
201815,2018,15,2018/4/8,2018/4/14,0.112486,0
201816,2018,16,2018/4/15,2018/4/21,0.0939813,0
201817,2018,17,2018/4/22,2018/4/28,0.0799876,0
201818,2018,18,2018/4/29,2018/5/5,0.0625914,0
201819,2018,19,2018/5/6,2018/5/12,0.0439311,0
201820,2018,20,2018/5/13,2018/5/19,0.0316606,0
201821,2018,21,2018/5/20,2018/5/26,0.0239003,0
201822,2018,22,2018/5/27,2018/6/2,0.0152934,0
201823,2018,23,2018/6/3,2018/6/9,0.0157683,0
201824,2018,24,2018/6/10,2018/6/16,0.0129914,0
201825,2018,25,2018/6/17,2018/6/23,0.0102329,0
201826,2018,26,2018/6/24,2018/6/30,0.0111356,0
201827,2018,27,2018/7/1,2018/7/7,0.0100305,0
201828,2018,28,2018/7/8,2018/7/14,0.00916118,0
201829,2018,29,2018/7/15,2018/7/21,0.010534,0
201830,2018,30,2018/7/22,2018/7/28,0.00995099,0
201831,2018,31,2018/7/29,2018/8/4,0.00953592,0
201832,2018,32,2018/8/5,2018/8/11,0.0095729,0
201833,2018,33,2018/8/12,2018/8/18,0.00764331,0
201834,2018,34,2018/8/19,2018/8/25,0.0133625,0
201835,2018,35,2018/8/26,2018/9/1,0.0150367,0
201836,2018,36,2018/9/2,2018/9/8,0.0174739,0
201837,2018,37,2018/9/9,2018/9/15,0.0168745,0
201838,2018,38,2018/9/16,2018/9/22,0.0169929,0
201839,2018,39,2018/9/23,2018/9/29,0.0149699,0
201840,2018,40,2018/9/30,2018/10/6,0.0174855,0
201841,2018,41,2018/10/7,2018/10/13,0.016967,0
201842,2018,42,2018/10/14,2018/10/20,0.0199298,0
201843,2018,43,2018/10/21,2018/10/27,0.0205527,0
201844,2018,44,2018/10/28,2018/11/3,0.0217372,0
201845,2018,45,2018/11/4,2018/11/10,0.027331,0
201846,2018,46,2018/11/11,2018/11/17,0.0315674,0
201847,2018,47,2018/11/18,2018/11/24,0.0392782,0
201848,2018,48,2018/11/25,2018/12/1,0.0391485,0
201849,2018,49,2018/12/2,2018/12/8,0.0623152,0
201850,2018,50,2018/12/9,2018/12/15,0.103644,0
201851,2018,51,2018/12/16,2018/12/22,0.142649,0
201852,2018,52,2018/12/23,2018/12/29,0.16352,0
201901,2019,1,2018/12/30,2019/1/5,0.121387,0
201902,2019,2,2019/1/6,2019/1/12,0.127217,0
201903,2019,3,2019/1/13,2019/1/19,0.163174,0
201904,2019,4,2019/1/20,2019/1/26,0.193918,0
201905,2019,5,2019/1/27,2019/2/2,0.225493,0
201906,2019,6,2019/2/3,2019/2/9,0.251342,0
201907,2019,7,2019/2/10,2019/2/16,0.26026,0
201908,2019,8,2019/2/17,2019/2/23,0.262407,0
201909,2019,9,2019/2/24,2019/3/2,0.260743,0
201910,2019,10,2019/3/3,2019/3/9,0.256065,0
201911,2019,11,2019/3/10,2019/3/16,0.261318,0
201912,2019,12,2019/3/17,2019/3/23,0.224805,0
201913,2019,13,2019/3/24,2019/3/30,0.193035,0
201914,2019,14,2019/3/31,2019/4/6,0.149422,0
201915,2019,15,2019/4/7,2019/4/13,0.119093,0
201916,2019,16,2019/4/14,2019/4/20,0.0861102,0
201917,2019,17,2019/4/21,2019/4/27,0.0584355,0
201918,2019,18,2019/4/28,2019/5/4,0.0481976,0
201919,2019,19,2019/5/5,2019/5/11,0.0383986,0
201920,2019,20,2019/5/12,2019/5/18,0.0354159,0
201921,2019,21,2019/5/19,2019/5/25,0.0341968,0
201922,2019,22,2019/5/26,2019/6/1,0.030826,0
201923,2019,23,2019/6/2,2019/6/8,0.0278989,0
201924,2019,24,2019/6/9,2019/6/15,0.0231579,0
201925,2019,25,2019/6/16,2019/6/22,0.0190194,0
201926,2019,26,2019/6/23,2019/6/29,0.020806,0
201927,2019,27,2019/6/30,2019/7/6,0.0242883,0
201928,2019,28,2019/7/7,2019/7/13,0.0201653,0
201929,2019,29,2019/7/14,2019/7/20,0.0221849,0
201930,2019,30,2019/7/21,2019/7/27,0.0237706,0
201931,2019,31,2019/7/28,2019/8/3,0.0239817,0
201932,2019,32,2019/8/4,2019/8/10,0.0205446,0
201933,2019,33,2019/8/11,2019/8/17,0.0208183,0
201934,2019,34,2019/8/18,2019/8/24,0.0236167,0
201935,2019,35,2019/8/25,2019/8/31,0.0345517,0
201936,2019,36,2019/9/1,2019/9/7,0.0309749,0
201937,2019,37,2019/9/8,2019/9/14,0.0248391,0
201938,2019,38,2019/9/15,2019/9/21,0.0275656,0
201939,2019,39,2019/9/22,2019/9/28,0.0274367,0
201940,2019,40,2019/9/29,2019/10/5,0.0130976,0
201941,2019,41,2019/10/6,2019/10/12,0.0147877,0
201942,2019,42,2019/10/13,2019/10/19,0.0155203,0
201943,2019,43,2019/10/20,2019/10/26,0.0225335,0
201944,2019,44,2019/10/27,2019/11/2,0.0305701,0
201945,2019,45,2019/11/3,2019/11/9,0.0516261,0
201946,2019,46,2019/11/10,2019/11/16,0.0675594,0
201947,2019,47,2019/11/17,2019/11/23,0.0954599,0
201948,2019,48,2019/11/24,2019/11/30,0.109385,0
201949,2019,49,2019/12/1,2019/12/7,0.116554,0
201950,2019,50,2019/12/8,2019/12/14,0.161542,0
201951,2019,51,2019/12/15,2019/12/21,0.22533,0
201952,2019,52,2019/12/22,2019/12/28,0.269336,0
202001,2020,1,2019/12/29,2020/1/4,0.234883,0
202002,2020,2,2020/1/5,2020/1/11,0.231187,0
202003,2020,3,2020/1/12,2020/1/18,0.260826,0
202004,2020,4,2020/1/19,2020/1/25,0.282813,0
202005,2020,5,2020/1/26,2020/2/1,0.301465,0
